RegionID,SizeRank,RegionName,RegionType,StateName,1/31/96,2/29/96,3/31/96,4/30/96,5/31/96,6/30/96,7/31/96,8/31/96,9/30/96,10/31/96,11/30/96,12/31/96,1/31/97,2/28/97,3/31/97,4/30/97,5/31/97,6/30/97,7/31/97,8/31/97,9/30/97,10/31/97,11/30/97,12/31/97,1/31/98,2/28/98,3/31/98,4/30/98,5/31/98,6/30/98,7/31/98,8/31/98,9/30/98,10/31/98,11/30/98,12/31/98,1/31/99,2/28/99,3/31/99,4/30/99,5/31/99,6/30/99,7/31/99,8/31/99,9/30/99,10/31/99,11/30/99,12/31/99,1/31/00,2/29/00,3/31/00,4/30/00,5/31/00,6/30/00,7/31/00,8/31/00,9/30/00,10/31/00,11/30/00,12/31/00,1/31/01,2/28/01,3/31/01,4/30/01,5/31/01,6/30/01,7/31/01,8/31/01,9/30/01,10/31/01,11/30/01,12/31/01,1/31/02,2/28/02,3/31/02,4/30/02,5/31/02,6/30/02,7/31/02,8/31/02,9/30/02,10/31/02,11/30/02,12/31/02,1/31/03,2/28/03,3/31/03,4/30/03,5/31/03,6/30/03,7/31/03,8/31/03,9/30/03,10/31/03,11/30/03,12/31/03,1/31/04,2/29/04,3/31/04,4/30/04,5/31/04,6/30/04,7/31/04,8/31/04,9/30/04,10/31/04,11/30/04,12/31/04,1/31/05,2/28/05,3/31/05,4/30/05,5/31/05,6/30/05,7/31/05,8/31/05,9/30/05,10/31/05,11/30/05,12/31/05,1/31/06,2/28/06,3/31/06,4/30/06,5/31/06,6/30/06,7/31/06,8/31/06,9/30/06,10/31/06,11/30/06,12/31/06,1/31/07,2/28/07,3/31/07,4/30/07,5/31/07,6/30/07,7/31/07,8/31/07,9/30/07,10/31/07,11/30/07,12/31/07,1/31/08,2/29/08,3/31/08,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21
9,0,California,State,CA,164893,164665,164525,164251,164074,163939,163863,163869,163918,164095,164300,164582,164625,164734,164925,165409,165983,166587,167325,168111,168988,169778,170696,171740,173187,174789,176327,177639,178824,180050,181161,182370,183685,185076,186355,187443,188722,190077,191496,192777,194114,195694,197370,198858,200195,201763,203662,205756,207797,209748,211751,213899,216236,218665,221172,223848,226616,229295,231963,234658,237247,239935,242742,245707,248370,250719,252800,254844,256932,259123,261291,263472,265687,268080,270546,273212,276068,279409,283196,287209,291151,295130,299350,303704,307886,311718,315560,319419,323413,326862,330654,334837,339716,344594,349825,355043,361048,367446,374257,381231,389047,397904,406631,414763,422497,430217,437506,444942,451822,459257,466495,474174,480925,487190,493561,500171,507013,513497,518775,523469,527370,530671,533811,536145,538734,540087,540577,540226,538739,536985,535454,533953,532450,530419,528168,525844,522333,518533,513906,509039,503254,496493,489634,481983,474339,464846,454039,442257,430655,419928,409180,399092,389915,381710,372653,363811,355612,350476,345967,341876,338198,335594,334312,333460,332891,332942,334517,336552,338104,337992,338891,340168,341989,341649,340484,338922,337698,336038,333746,331762,330068,328617,326408,324162,321086,319260,317838,316450,314816,313001,312288,311136,310443,309935,310164,310925,312532,314523,316903,319900,323359,327622,331555,336738,341844,347886,354555,361990,369604,377291,384870,392224,398746,404412,409634,414160,418740,422513,424756,425864,426527,427405,428751,429492,430778,432150,434607,436429,438381,440585,443868,446629,449510,451748,453889,456457,459421,462676,465247,468798,471935,474655,476407,479135,481765,484546,486976,490035,492856,495919,498528,500794,503280,505979,509188,512108,515430,518936,521939,524660,527650,530972,534936,539101,543464,547843,551598,554608,557551,560473,562961,564078,564270,564389,564625,564165,563530,562349,561892,562607,565129,568037,569727,570066,570174,570925,572015,574312,577643,581972,586738,589979,591694,592846,596835,603068,610428,617866,625490,633159,640804,648792,657159,667443
54,1,Texas,State,TX,98567,98593,98624,98752,98894,99013,99104,99220,99373,99549,99766,100003,100021,100016,99999,100130,100217,100346,100477,100656,100840,101091,101317,101558,102036,102494,102946,103071,103279,103488,103791,104022,104238,104306,104340,104345,104567,105059,105734,106486,107182,107872,108533,109097,109564,110107,110704,111303,111694,111977,112147,112336,112373,112408,112402,112587,112834,113083,113378,113700,113921,113910,113744,113645,113732,113839,113968,114015,114120,114244,114333,114420,114530,114769,115119,115541,115968,116459,116941,117439,117861,118249,118648,119037,119315,119403,119387,119426,119560,119799,120024,120303,120542,120854,121131,121450,122024,123064,124424,125570,126421,126917,127516,128064,128735,129348,129940,130523,131152,131559,131811,131990,132248,132645,132973,133316,133599,133784,134088,134322,134686,135092,135550,135991,136513,137048,137596,138070,138576,139240,139807,140388,140792,141089,141296,141615,141977,142396,142697,143169,143622,144020,144287,144519,144317,143917,143358,143012,142623,142249,141956,141550,141051,140507,139934,139380,139084,139068,139138,139019,138863,138722,138692,138612,138561,138491,138702,138874,138971,138956,138975,139077,139108,138994,138530,138004,137473,137045,136531,136104,135692,135167,134593,134019,133555,133127,132944,132919,133015,133038,132913,132744,132719,132958,133307,133608,133933,134290,134720,135105,135398,135683,136138,136731,137424,138067,138826,139671,140538,141414,142314,143258,144300,145397,146485,147447,148320,149219,150017,150788,151591,152516,153399,154351,155301,156281,157258,158273,159300,160320,161412,162526,163565,164587,165590,166562,167456,168408,169273,170179,171128,172049,172944,173810,174851,175834,176899,177833,178828,179728,180848,182036,183110,184178,185110,186098,186932,187795,188573,189378,190243,191232,192208,193076,193866,194691,195705,196829,197947,199011,199962,200920,201671,202495,203212,204136,205189,206158,206874,207291,207877,208509,209250,209871,210455,210702,210983,211237,211893,212416,213252,213856,214618,215341,216396,217675,219236,221190,223373,225720,227942,230571,233331,236733
43,2,New York,State,NY,121945,121667,121503,121252,121151,121084,121003,120926,120881,120888,120924,121006,120958,121177,121413,121718,121819,121950,122204,122448,122686,122852,123207,123585,124338,124768,125178,125243,125451,125659,125744,126073,126488,127154,127539,127937,128125,128556,129019,129752,130544,131392,132517,133419,134310,134936,135636,136267,136882,137756,138771,139915,140918,141898,142641,143327,143978,144759,145723,146744,147793,148638,149479,150297,151212,152139,153121,154140,155151,156247,157377,158562,159766,160953,162019,163120,164237,165458,166717,168018,169302,170551,171867,173298,174723,176201,177934,179556,181097,182448,183818,185408,187125,188905,190394,191777,193260,194758,196119,197543,199138,200970,202847,204590,206337,207994,209898,211710,213568,215438,217225,219135,221007,222839,224700,226588,228609,230596,232412,234256,235859,237346,238674,239880,240929,241958,242820,243551,243960,244261,244436,244603,244708,244845,245027,245075,245240,245284,245417,245497,245510,245718,245935,245937,245882,245530,245203,244625,243874,242985,241939,240933,239870,238549,237136,235843,234623,233538,232436,231466,230523,229593,228789,228114,227728,227608,227604,227616,227470,227435,227351,227561,227684,227993,228036,227756,227162,226325,225597,224825,224337,223823,223366,222568,221753,220743,219964,219399,219025,218765,218353,218006,217608,217132,216752,216468,216439,216488,216599,216758,216935,217029,217231,217496,217800,218279,218674,219269,219799,220458,221101,221662,222193,222841,223500,224098,224678,225226,225871,226328,226704,226971,227153,227376,227621,227941,228300,228767,229196,229482,229642,229911,230298,230795,231380,231964,232565,233025,233406,233645,233935,234569,235389,236167,236793,237270,237831,238485,239189,240044,240944,242058,243045,243792,244428,245318,246480,247840,248971,249970,250891,251837,252916,253893,255064,256229,257429,258488,259525,260650,261922,263210,264426,265389,266147,266832,267642,268531,269597,270561,271672,272556,273165,273489,273579,273617,273760,274176,274913,275771,276800,277929,279048,280274,281927,283989,286463,289291,292326,295440,298466,301666,304962,308611
14,3,Florida,State,FL,104399,104506,104629,104860,105082,105326,105558,105766,105913,106068,106239,106450,106485,106578,106681,107005,107306,107577,107838,108114,108434,108723,109059,109395,110113,110711,111245,111366,111560,111713,111927,112232,112707,113266,113674,113995,114100,114328,114603,115086,115576,116240,116932,117553,117993,118378,118897,119468,120070,120679,121364,122102,122802,123443,124054,124677,125377,126123,126927,127756,128616,129511,130417,131340,132288,133255,134300,135378,136517,137666,138799,139904,140987,142021,143040,144077,145159,146278,147391,148562,149706,150918,152153,153562,155030,156588,158124,159662,161135,162521,163860,165205,166729,168431,170276,172072,173918,175797,177750,179686,181850,184272,186962,189897,192931,196010,199082,202373,205885,209624,213565,217789,222322,227269,232677,238201,243694,248872,253884,258675,263129,267091,271010,274881,278321,280902,282435,283330,283448,283272,282816,281927,280882,279627,278107,276061,273662,270759,267529,264151,260889,257553,254003,250315,246269,242087,237518,233157,228508,224266,219907,215556,211240,206830,202275,197881,193762,190077,186542,182954,179761,176792,174537,172499,170659,169155,168283,167535,166922,166208,165732,165283,164767,163987,162872,161547,160124,158603,156929,155339,153714,152203,150615,149178,147809,146731,145747,145068,144547,144253,144061,143913,143879,143906,144204,144690,145273,145939,146726,147625,148574,149595,150687,151958,153463,155163,156908,158676,160632,162602,164725,166910,169147,171149,173048,174770,176375,177737,179068,180202,181251,182134,183008,183636,184353,185349,186499,187647,188705,189876,191040,192212,193428,194741,195987,197410,198887,200367,201669,203121,204666,206319,207737,209166,210514,212011,213591,215105,216475,217732,219170,220559,222031,223381,224801,226338,227863,229383,230756,232242,233694,235163,236521,237869,238919,240108,241529,243102,244737,246176,247578,248781,249939,250991,252055,253196,254262,255018,255450,255796,256275,257070,258117,258807,259321,259831,260559,261283,262231,263554,265006,266343,267588,268834,270256,272211,274541,277151,279841,282750,285848,289073,292636,296666
21,4,Illinois,State,IL,130138,130128,130040,130105,130023,130143,130167,131040,132151,133979,133920,133567,132613,132982,133472,133718,134202,134363,134472,132907,130849,127601,127680,128486,130551,130658,130831,131059,131256,131449,132004,133490,135517,138114,139380,140165,140111,140729,141356,142103,142750,143698,144681,145623,146284,147054,147514,148026,148707,149832,150958,151965,152940,153865,154722,155684,156697,157724,158773,159866,160909,161815,162738,163730,164867,165956,166957,167907,168935,170035,171144,172113,173019,173964,175083,176046,177059,178023,179228,180383,181484,182538,183490,184617,185711,186943,188014,189206,190206,191160,192059,193190,194502,195783,196992,198058,199318,200527,201778,203093,204517,206133,207629,209041,210210,211471,212896,214468,215849,217240,218605,220102,221593,223140,224703,226219,227924,229583,231114,232507,233792,235123,236238,237323,238214,239001,239586,240226,240670,241045,241272,241617,242109,242692,242546,242415,241607,241386,240570,240222,239389,238864,238141,237270,236374,234113,233336,230865,230106,227329,226026,223252,221585,218891,216670,213563,210411,208037,205423,203565,201055,199159,197644,196407,194796,193521,192391,192227,191647,191344,189971,189878,188797,188889,186760,185657,183876,182913,181003,179377,177755,176516,175361,173477,172168,170309,169887,168804,168273,166514,165626,164174,163426,161901,161563,161102,161126,160712,160102,159546,159031,159386,159943,160542,161219,162119,162740,163671,164281,165491,166610,168216,169633,171212,172026,173072,173685,174602,174995,175166,175587,176314,177068,177490,178011,178296,178858,179241,179604,179707,180204,180968,181733,181954,182245,182492,182833,183073,183362,183819,184418,185462,186365,187135,187662,188326,189096,189836,190476,191193,192071,193019,194029,194804,195705,196544,197356,197998,198555,199260,200039,200895,201680,202528,203363,204039,204462,204879,205455,206173,206692,207094,207460,207782,208124,208342,208592,208935,209397,209880,210433,210880,211192,211270,210956,210598,210345,210436,211023,211358,211999,212269,212747,213216,214143,215393,217082,218966,220938,222885,224636,226821,229012,231775
47,5,Pennsylvania,State,PA,97116,97055,96993,96893,96800,96759,96728,96772,96804,96891,96994,97129,97230,97337,97499,97718,97990,98241,98518,98653,98817,98919,99119,99343,99658,99949,100178,100313,100428,100520,100618,100866,101158,101504,101684,101782,101844,101976,102159,102401,102628,102899,103174,103425,103689,103931,104253,104638,105073,105585,106086,106574,107052,107497,107935,108310,108703,109123,109619,110148,110672,111139,111631,112135,112587,113025,113465,113954,114438,114918,115471,116009,116584,117154,117777,118420,119052,119671,120316,121090,121879,122717,123444,124234,125039,125866,126678,127490,128389,129351,130280,131151,132043,133000,133904,134772,135596,136709,137809,138946,140084,141257,142577,143800,145119,146323,147701,149086,150578,151743,152943,154187,155535,156943,158362,159952,161476,162952,164319,165651,166839,167921,168912,169905,170905,171924,172748,173425,173943,174437,174820,175171,175587,176062,176579,176927,177232,177380,177680,177942,178151,178280,178427,178550,178502,178344,177992,177651,177188,176710,176024,175314,174674,174118,173486,172741,171956,171369,170888,170461,170003,169622,169377,169153,169015,168972,169133,169357,169669,169872,170076,170219,170288,170235,169961,169533,168854,168047,167129,166280,165480,164727,163986,163151,162340,161523,160900,160479,160265,160070,159827,159529,159196,158873,158587,158424,158362,158293,158186,158104,158043,158073,158133,158280,158474,158683,158906,159204,159525,159929,160351,160717,161058,161307,161612,161830,162074,162301,162499,162564,162599,162755,162997,163193,163309,163429,163579,163796,163969,164111,164401,164827,165366,165641,165817,166006,166343,166731,167080,167343,167763,168326,168697,168926,169012,169456,169939,170511,170951,171423,171966,172686,173182,173630,174055,174778,175555,176308,177040,177778,178591,179443,180209,180948,181810,182716,183944,185005,186088,186771,187391,187887,188445,188931,189526,190129,190876,191675,192291,192833,193584,194465,195303,195861,196294,196720,197111,197604,198188,198992,199992,201047,201899,202885,204211,205957,207912,210069,212400,214851,217363,219910,222596,225601
44,6,Ohio,State,OH,93445,93559,93710,94023,94349,94646,94908,95201,95503,95811,96115,96431,96734,97039,97326,97619,97921,98260,98624,98938,99239,99515,99810,100119,100490,100899,101294,101627,101949,102290,102685,103087,103498,103948,104375,104733,104996,105278,105622,105976,106267,106534,106816,107153,107504,107869,108249,108717,109258,109796,110243,110709,111257,111849,112352,112802,113246,113677,114120,114543,114963,115342,115751,116147,116512,116822,117165,117526,117885,118226,118539,118832,119104,119378,119680,119977,120282,120580,120890,121176,121468,121780,122148,122529,122902,123267,123604,123967,124328,124735,125145,125624,126095,126556,126922,127284,127608,127980,128361,128730,129099,129437,129796,130080,130376,130657,130988,131317,131712,132098,132485,132827,133124,133428,133696,134007,134289,134592,134915,135221,135456,135596,135721,135843,135961,136035,136104,136124,136061,135988,135898,135806,135713,135670,135498,135263,134960,134694,134363,134038,133810,133551,133146,132733,132357,131964,131612,131174,130763,130291,129914,129497,129000,128365,127848,127219,126506,125650,124888,124317,123856,123416,122951,122511,122166,121987,121807,121717,121624,121713,121655,121593,121415,121211,120778,120276,119702,119128,118498,117823,117259,116671,116174,115524,114909,114331,113980,113699,113433,113116,112846,112635,112368,112079,111894,111812,111700,111525,111387,111357,111415,111476,111515,111585,111788,112081,112325,112595,112931,113372,113768,114160,114457,114861,115212,115508,115534,115493,115451,115520,115657,115873,116130,116286,116499,116649,116957,117342,117906,118509,119054,119511,119986,120435,120882,121308,121716,122114,122486,122823,123238,123647,124174,124655,125094,125516,125985,126528,127103,127694,128343,129055,129800,130490,131123,131781,132443,133127,133737,134497,135296,136186,136948,137663,138178,138854,139594,140574,141496,142338,143136,143744,144291,144798,145446,146172,147007,147816,148601,149167,149846,150551,151350,151966,152616,153172,153535,154021,154689,155549,156371,157264,158249,159302,160416,161838,163361,165074,167022,168974,170915,172847,174992,177338
30,7,Michigan,State,MI,90999,91326,91638,92308,92969,93645,94257,94822,95346,95863,96434,97053,97707,98305,98931,99485,100072,100575,101169,101842,102581,103321,103977,104554,105142,105765,106375,106951,107508,108143,108786,109405,110031,110676,111324,111988,112505,113158,113783,114565,115298,116131,116935,117743,118505,119246,119994,120747,121635,122421,123266,124036,124892,125692,126564,127380,128144,128872,129677,130513,131253,131897,132507,133127,133761,134312,134848,135400,136030,136611,137123,137582,138108,138651,139215,139679,140030,140381,140683,141032,141314,141649,142005,142386,142735,143145,143429,143834,144305,144878,145405,145887,146407,146963,147466,147946,148389,148808,149301,149710,150123,150509,150973,151402,151787,152164,152548,152926,153326,153651,154016,154376,154795,155097,155330,155564,155846,156072,156256,156406,156548,156684,156717,156643,156437,156127,155868,155486,155110,154565,153998,153278,152528,151843,151190,150592,149752,148972,147949,147212,146087,144938,143599,142581,141609,140409,138931,137114,135380,133622,131879,129858,128070,126591,125173,123374,121145,119062,117050,115331,113634,112035,110807,109705,108837,107774,106980,106301,106058,105692,105492,105383,105432,105480,105087,104530,103705,102974,102167,101535,100817,100270,99575,98865,98120,97420,96928,96729,96753,96804,96796,96790,96833,96852,97123,97438,97911,98416,99073,99691,100281,101010,101829,102601,103394,104406,105574,106807,107985,109171,110454,111821,113267,114555,115769,117020,118292,119385,120212,120915,121666,122505,123225,123795,124229,124726,125279,125789,126314,126891,127632,128297,128834,129308,129828,130456,130985,131505,132118,132915,133656,134347,134848,135632,136466,137405,138339,139217,140300,141389,142393,143282,144157,145087,146147,147199,148360,149370,150230,151109,151991,152942,153955,154953,156190,157454,158709,159794,160881,162101,163253,164263,165025,165731,166356,167181,167887,168624,169214,169922,171049,172341,173447,173928,174259,174529,174977,175349,176079,176814,177975,179127,180074,180754,181750,183399,185371,187497,189613,191804,193846,196015,198089,200350
16,8,Georgia,State,GA,105160,105320,105483,105837,106192,106568,106916,107268,107612,107988,108379,108804,109150,109548,109972,110478,110954,111385,111854,112369,112935,113475,113999,114530,115270,115943,116540,116913,117399,117955,118552,119133,119690,120270,120880,121451,121910,122402,122994,123724,124422,125134,125872,126553,127247,127920,128612,129274,129909,130658,131464,132357,133189,134014,134808,135658,136509,137393,138287,139271,140276,141110,141841,142473,143191,143868,144551,145225,145875,146493,147068,147613,148117,148667,149179,149707,150192,150689,151147,151537,151933,152341,152741,153070,153427,153786,154204,154533,154821,155088,155383,155724,156053,156365,156698,157106,157517,157944,158358,158828,159275,159683,160100,160574,161086,161636,162147,162620,163035,163440,163870,164394,165022,165699,166324,166890,167489,168080,168738,169313,169968,170582,171169,171630,172046,172521,173061,173597,174068,174493,174897,175368,175827,176259,176669,177005,177225,177277,177211,177080,176802,176484,176096,175762,175136,174340,173311,172454,171600,170676,169573,168333,167142,165814,164206,162229,160405,158687,157092,155184,153319,151608,150327,149247,148266,147231,146431,145869,145288,144652,144048,143799,143618,143251,142313,141049,139509,138175,136765,135600,134343,133309,131979,130513,128836,127355,126233,125574,125292,125039,124742,124086,123600,123099,123184,123387,123805,124239,124765,125107,125287,125508,126113,126964,128032,129151,130236,131252,132356,133561,134780,136140,137576,139052,140295,141592,142691,143773,144648,145535,146305,147024,147792,148511,149277,149978,150707,151363,152008,152625,153226,153912,154742,155638,156417,157176,157904,158595,159271,159943,160784,161610,162569,163513,164398,165120,165763,166411,166960,167677,168469,169426,170226,171097,171966,172886,173808,174865,176048,177215,178583,179881,181291,182634,184073,185448,186649,187871,189176,190563,191905,193173,194365,195534,196658,197695,198655,199526,200610,201615,202654,203456,204299,205183,206024,206753,207166,207644,208352,209421,210501,211461,212412,213545,214906,216415,218106,220076,222475,225079,227737,230398,233235,236492
36,9,North Carolina,State,NC,112016,112234,112430,112835,113233,113685,114162,114630,115038,115523,116064,116643,117209,117762,118365,118928,119458,119892,120282,120764,121345,121797,122170,122505,122934,123305,123641,123988,124477,125023,125587,126031,126446,126923,127379,127814,128128,128534,128922,129400,129764,130118,130496,130873,131276,131631,132064,132525,132985,133530,134080,134680,135232,135777,136273,136736,137189,137665,138218,138781,139385,139807,140192,140498,140839,141164,141437,141777,142102,142456,142685,142879,143042,143240,143467,143650,143885,144100,144380,144595,144809,145001,145213,145427,145660,145898,146156,146393,146635,146837,147067,147336,147616,147874,148135,148453,148844,149238,149616,149981,150307,150673,151006,151350,151747,152192,152712,153227,153657,154163,154628,155231,155815,156527,157279,158073,158850,159684,160500,161320,162117,162908,163731,164546,165417,166244,167118,167976,168830,169605,170307,170992,171721,172360,173013,173628,174290,174940,175494,175994,176366,176641,176907,177131,177304,177328,177266,177118,176887,176512,176053,175619,175148,174635,173936,173170,172351,171761,171164,170441,169547,168696,168018,167286,166669,166158,165853,165514,165205,164740,164341,164107,163979,163750,163236,162653,161983,161363,160690,160074,159373,158680,157866,156914,156060,155387,154897,154383,153970,153436,152936,152441,152083,151817,151636,151660,151585,151454,151327,151385,151439,151545,151672,151795,151961,152127,152466,152818,153295,153801,154328,154857,155341,155892,156363,156944,157424,157922,158229,158485,158703,158902,159071,159157,159353,159579,159977,160371,160868,161364,161999,162540,163018,163462,164032,164694,165266,165777,166195,166578,167008,167530,168014,168629,169376,170307,171203,172050,172936,173804,174725,175674,176578,177411,178331,179317,180266,181083,181800,182611,183496,184584,185622,186705,187783,188932,190000,190941,191950,193032,194243,195361,196407,197253,198205,199149,200170,201012,201826,202722,203613,204577,205447,206299,207136,208034,208932,209761,210431,211263,212189,213301,214472,215706,217129,218753,220584,222614,224799,227248,230019,232994,236198,239534
