state,average_home_price
CA,567563.5833
TX,208699.6667
NY,271862.0833
FL,257649.0833
IL,210242.8333
PA,194551.4167
OH,150804.0
MI,172127.1667
GA,203632.0833
NC,204960.75
NJ,349843.6667
VA,285270.5
WA,412988.0833
MA,434274.0
IN,155086.9167
AZ,267167.6667
TN,184767.25
MO,164080.5833
MD,323450.0833
WI,193552.5
MN,261241.5
CO,414845.3333
AL,142704.5
SC,192229.3333
LA,170722.9167
KY,146302.3333
OR,365922.1667
OK,129732.25
CT,275120.5833
IA,152071.5
MS,125752.5
AR,129892.25
KS,153547.6667
UT,354395.4167
NV,319823.25
NM,203118.75
WV,108142.0
NE,177362.4167
ID,282628.4167
HI,742220.8333
ME,238261.0
NH,303511.5
RI,307510.25
MT,286108.3333
DE,262325.1667
SD,213213.8333
AK,299099.0
ND,236859.0833
VT,261071.3333
DC,734414.9167
WY,248255.0833
