job_title,category,company_name,city,state,post_date,job_type,salary_offered,job_board
Data Scientist,Accounting/Finance,Farmers Insurance Group,Woodland Hills,CA,2019-02-06,Undefined,NULL,indeed
Data Scientist,NULL,Luxoft USA Inc,Middletown,NJ,2019-02-05,Undefined,NULL,dice
Data Scientist,NULL,Cincinnati Bell Technology Solutions,New York,NY,2019-02-05,Full Time,NULL,dice
Asscoiate DS,Accounting/Finance,BlackRock,New York,NY,2019-02-06,Undefined,NULL,indeed
Senior DS,biotech,CyberCoders,Charlotte,NC,2019-02-05,Full Time,NULL,monster
VP DS,Accounting/Finance,JP Morgan Chase,New York,NY,2019-02-05,Undefined,NULL,indeed
Data Scientist,Accounting/Finance,Spotify,New York,NY,2019-02-06,Undefined,NULL,indeed
Senior DS,NULL,Xoriant Corporation,Santa Clara,CA,2019-02-06,Contract,NULL,dice
Asscoiate DS,Accounting/Finance,BlackRock,New York,NY,2019-02-06,Undefined,NULL,indeed
Data Scientist,NULL,Adroit Resources,San Francisco,CA,2019-02-05,Contract,NULL,dice
Data Scientist,Computer/Internet,Northrop Grumman,Monterey,CA,2019-02-06,Undefined,NULL,indeed
Data Scientist,NULL,"Envoy Consulting Group, Inc",Reston,VA,2019-02-05,Full Time,NULL,dice
Data Scientist,Computer/Internet,Noblis,Reston,VA,2019-02-06,Undefined,NULL,indeed
Data Scientist,Computer/Internet,ARUP Laboratories,Salt Lake City,UT,2019-02-06,Undefined,NULL,indeed
Data Scientist,NULL,Perspecta,Washington,DC,2019-02-05,Full Time,NULL,dice
Senior DS,NULL,"Pyramid Consulting, Inc.",Mclean,VA,2019-02-05,Undefined,NULL,dice
Senior DS,NULL,Orpine.com,Boston,MA,2019-02-05,Contract,NULL,dice
Data Scientist,NULL,Apeiro Technologies,Mclean,VA,2019-02-05,Contract,NULL,dice
Data Scientist,Computer/Internet,Bank of America,Seattle,WA,2019-02-06,Undefined,NULL,indeed
Data Scientist,Computer/Internet,Sallie Mae,Newark,DE,2019-02-06,Undefined,NULL,indeed
Senior DS,Arts/Entertainment/Publishing,Taboola,Los Angeles,CA,2019-02-06,Undefined,NULL,indeed
Data Scientist,Computer/Internet,VideoAmp,Santa Monica,CA,2019-02-06,Undefined,NULL,indeed
Data Scientist,Computer/Internet,Apple,Cambridge,MA,2019-02-06,Undefined,NULL,indeed
Data Scientist,NULL,Amtex Enterprises,Plano,TX,2019-02-06,Contract,NULL,dice
Senior DS,NULL,"Sysmind, LLC",Dallas,TX,2019-02-05,Undefined,NULL,dice
Data Scientist,NULL,FocuzMindz,Dallas,TX,2019-02-05,Contract,NULL,dice
Data Scientist,NULL,"Digital Intelligence Systems, LLC",Houston,TX,2019-02-05,Contract,NULL,dice
Data Scientist,NULL,"Advent Global Solutions, Inc.",Bothell,WA,2019-02-05,Contract,NULL,dice
Data Scientist,NULL,Resource Informatics Group,Houston,TX,2019-02-06,Contract,NULL,dice
Data Scientist,NULL,Viri Technology,Seattle,WA,2019-02-06,Full Time,NULL,dice
Data Scientist,NULL,Kforce Technology Staffing,Irvine,CA,2019-02-07,Full Time,NULL,dice
Data Scientist,military,L3 Technologies,Chantilly,VA,2019-02-03,Undefined,NULL,monster
Data Scientist,business and financial operations,Apex Systems,West Chester Township,OH,2019-02-05,Full Time,NULL,careerbuilder
Senior DS,business and financial operations,Jefferson Frank,Tallahassee,FL,2019-02-05,Full Time,NULL,careerbuilder
Data Scientist,business and financial operations,"5 Star Global Recruitment Partners, LLC",Dallas,TX,2019-02-05,Full Time,NULL,careerbuilder
Data Scientist,business and financial operations,IQVIA,Plymouth Meeting,PA,2019-02-05,Full Time,NULL,careerbuilder
Data Scientist,business and financial operations,Grant Thornton LLP,Alexandria,VA,2019-02-05,Full Time,NULL,careerbuilder
Data Scientist,business and financial operations,Experis,Seattle,WA,2019-02-05,Contract,NULL,careerbuilder
Data Scientist,business and financial operations,Jefferson Frank,Tampa,FL,2019-02-05,Full Time,NULL,careerbuilder
