name,brewery_type,city,state,postal_code,longitude,latitude,website_url
49th State Brewing Co - Anchorage,brewpub,Anchorage,AK,99501-2104,-149.8958196,61.2197366,http://www.49statebrewing.com/
49th State Brewing Co,micro,Healy,AK,99743,-149.017877,63.864759,https://www.49statebrewing.com/denali
Alaskan Brewing Co.,regional,Juneau,AK,99801-9540,-134.4918763,58.35681231,http://www.alaskanbeer.com
Anchorage Brewing Co,micro,Anchorage,AK,99515-1901,-149.8893581,61.1385311,http://www.anchoragebrewingcompany.com
Arkose Brewery,micro,Palmer,AK,99645-6689,-149.103408,61.582157,http://www.arkosebrewery.com
Baleen Brewing Co.,micro,Ketchikan,AK,99901,-131.817681,55.472907,https://www.baleenbrewing.com
Baranof Island Brewing Co,closed,Sitka,AK,99835-9759,-135.309951,57.049586,http://www.baranofislandbrewing.com
Barnaby Brewing Company,micro,Juneau,AK,99801,-134.405962,58.300314,http://www.barnabybrew.com
Bawden Street Brewing Company,micro,Ketchikan,AK,99901,-131.644822,55.34321,https://www.facebook.com/bawdenstreetbrewing
Bearpaw River Brewing Co,micro,Wasilla,AK,99654-7679,-149.4127103,61.5752695,http://bearpawriverbrewing.com
Bleeding Heart Brewery,closed,Palmer,AK,99645-6972,-149.109799,61.601303,http://facebook.com/bleedingheartbrewery
Broken Tooth Brewing Co,brewpub,Anchorage,AK,99501-1815,-149.8437638,61.2225517,https://brokentoothbrewing.net
Cooper Landing Brewing Company,micro,Cooper Landing,AK,99572,-149.8478495,60.4952185,http://www.cooperlandingbrewing.com
Cynosure Brewing,micro,Anchorage,AK,99518-1363,-149.881789,61.168841,https://www.cynosure.beer
Denali Brewing Company,micro,Talkeetna,AK,99676,-150.029188,62.161453,http://www.denalibrewing.com
Devil's Club Brewing,brewpub,Juneau,AK,99801-1223,-134.406956,58.301309,http://www.devilsclubbrewing.com
Faults Brewing,planning,Anchorage,AK,99509-0312,-149.8948523,61.2163129,NULL
Forbidden Peak Brewery,micro,Juneau,AK,99801,-134.645965,58.387811,https://forbiddenpeak.com
Gakona Brewing Company,micro,Gakona,AK,99586-0336,-145.335689,62.293667,https://www.gakonabrewing.com
Girdwood Brewing Company,micro,Girdwood,AK,99587-0058,-149.1540907,60.9578421,http://www.girdwoodbrewing.com
Glacier Brewhouse,brewpub,Anchorage,AK,99501-2129,-149.896703,61.218047,http://www.glacierbrewhouse.com
Grace Ridge Brewing,micro,Homer,AK,99603-7905,-151.504362,59.639728,https://www.graceridgebrewing.com
Growler Bay Brewing Co,planning,Valdez,AK,99686-3716,-146.3493638,61.1299396,https://growlerbaybrewing.com
Haines Brewing Co,micro,Haines,AK,99827,-135.4551927,59.2357624,http://www.hainesbrewing.com
Harbor Mountain Brewing Co,micro,Sitka,AK,99835-9759,-135.309951,57.049586,https://www.harbormountainbrewing.com/
Homer Brewing Co,micro,Homer,AK,99603-7945,-151.506636,59.640509,http://homerbrew.com
HooDoo Brewing Co,micro,Fairbanks,AK,99701-2701,-147.7598199,64.84855501,http://www.hoodoobrew.com
Humpy's Great Alaskan Alehouse,contract,Anchorage,AK,99501-2225,-149.8938928,61.216502,http://www.humpysalaska.com
Icy Strait Brewery,micro,Hoonah,AK,99829,-135.4464887,58.11031874,http://icystraitbrewing.company
Inside Passage Brewing Company LLC,closed,Ketchikan,AK,99901-6502,-131.6466819,55.3430696,NULL
Kassik's Brewery,micro,Kenai,AK,99611-9677,-151.307721,60.663773,NULL
Kenai River Brewing Co,brewpub,Soldotna,AK,99669-8010,-151.0561141,60.4850753,http://www.kenairiverbrewing.com
King Street Brewing Co,micro,Anchorage,AK,99515,-149.879076,61.13848935,http://www.kingstreetbrewing.com
Klondike Brewing Company,brewpub,Skagway,AK,99840,-135.3188721,59.45385743,http://www.klondikebeer.com
Kodiak Island Brewing Co,micro,Kodiak,AK,99615-6580,-152.407155,57.79008256,http://www.kodiakbrewery.com
Last Frontier Brewing Company,brewpub,Wasilla,AK,99654-7127,-149.4395534,61.581483,https://lastfrontierbrew.com
Matanuska Brewing Company - Downtown Brewpub,brewpub,Anchorage,AK,99501,-149.893012,61.219744,https://matanuskabrewingcompany.com
Matanuska Brewing Company - Eagle River,brewpub,Eagle River,AK,99577,-149.568403,61.328403,https://matanuskabrewingcompany.com
Matanuska Brewing Company - Midtown Brewpub,brewpub,Anchorage,AK,99503,-149.888563,61.195228,https://matanuskabrewingcompany.com
Midnight Sun Brewing Co,micro,Anchorage,AK,99507-3144,-149.8445465,61.1471249,http://www.midnightsunbrewing.com
Midnite Mine Brewpub,micro,Fairbanks,AK,99701-4838,-147.714159,64.845689,NULL
Odd Man Rush,micro,Eagle River,AK,99577-8095,-149.580902,61.320013,http://www.oddmanrushbrewing.com
Onsite Brewing Company,micro,Anchorage,AK,99503-4030,-149.876395,61.191918,https://onsitebrewing.com
QUAKE! Brewing Company,closed,Wasilla,AK,99654,-149.340342,61.596646,http://www.quakebrewingcompany.com
Resolution Brewing Company,brewpub,Anchorage,AK,99501-3141,-149.823091,61.21997889,http://www.resolutionbeer.com
RoughWoods Inn,brewpub,Nenana,AK,99760-9999,-149.096237,64.56274,http://www.roughwoodsinn.biz
Seward Brewing,brewpub,Seward,AK,99664,-149.440886,60.101258,http://www.sewardbrewingcompany.com
Silver Gulch Brewing Co,micro,Fox,AK,99712,-147.6219761,64.95708588,http://www.silvergulch.com
Skagway Brewing Co,brewpub,Skagway,AK,99840-9800,-135.315716,59.45506,http://www.skagwaybrewing.com
St Elias Brewing Co,micro,Soldotna,AK,99669-7665,-151.0472293,60.49148673,http://steliasbrewingco.com
5 Rivers Brewing LLC,planning,Spanish Fort,AL,36527-3161,-87.9152724,30.6749127,http://5riversbrewing.com
Avondale Brewing Co,micro,Birmingham,AL,35222-1932,-86.774322,33.524521,http://www.avondalebrewing.com
Back Forty Beer Co,micro,Gadsden,AL,35901-3361,-86.005006,34.016888,http://www.backfortybeer.com
Band of Brothers Brewing Company,micro,Tuscaloosa,AL,35401-4653,-87.56215513,33.19849071,http://www.bandofbrosbrewing.com
Below the Radar Brewing Co,brewpub,Huntsville,AL,35801-4837,-86.58583931,34.73272365,http://www.btrbrew.com
Big Beach Brewing Company,micro,Gulf Shores,AL,36542-3104,-87.683039,30.278051,http://www.bigbeachbrewing.com
Birmingham District Brewing,planning,Birmingham,AL,35242-5651,-86.8024326,33.5206824,NULL
Black Warrior Brewing Co.,micro,Tuscaloosa,AL,35401-1542,-87.565915,33.21061755,http://www.blackwarriorbrewing.com
Blue Pants Brewery,micro,Madison,AL,35758-8675,NULL,NULL,http://www.bluepantsbrew.com
Bluewater Brewing Co,micro,Florence,AL,35630-4810,-87.65970529,34.8041295,http://www.facebook.com/pg/BluewaterBrewingCompanyInc
Brewpub In Planning - Birmingham,planning,Birmingham,AL,35222,-86.8024326,33.5206824,NULL
Cahaba Brewing Co,micro,Birmingham,AL,35222-2911,NULL,NULL,http://www.cahababrewing.com
Chandler's Ford Brewing LLC,planning,Huntsville,AL,35802,-86.5859011,34.729847,http://chandlersfordbrewing.com
